filename, language, HTML, TypeScript, CSS, comment, blank, total
c:\Users\Matea\Desktop\IndianaJones\src\app\stranice\test1\test1.component.ts, TypeScript, 0, 14, 0, 0, 5, 19
c:\Users\Matea\Desktop\IndianaJones\src\app\stranice\test2\test2.component.css, CSS, 0, 0, 0, 0, 1, 1
c:\Users\Matea\Desktop\IndianaJones\src\app\stranice\test2\test2.component.html, HTML, 3, 0, 0, 0, 1, 4
c:\Users\Matea\Desktop\IndianaJones\src\app\stranice\test2\test2.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\stranice\test2\test2.component.ts, TypeScript, 0, 13, 0, 0, 5, 18
c:\Users\Matea\Desktop\IndianaJones\src\app\tab-content\tab-content.component.css, CSS, 0, 0, 0, 0, 1, 1
c:\Users\Matea\Desktop\IndianaJones\src\app\tab-content\tab-content.component.html, HTML, 1, 0, 0, 0, 1, 2
c:\Users\Matea\Desktop\IndianaJones\src\app\tab-content\tab-content.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\tab-content\tab-content.component.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\test\test.component.css, CSS, 0, 0, 0, 0, 1, 1
c:\Users\Matea\Desktop\IndianaJones\src\app\test\test.component.html, HTML, 1, 0, 0, 0, 1, 2
c:\Users\Matea\Desktop\IndianaJones\src\app\test\test.component.spec.ts, TypeScript, 0, 20, 0, 0, 6, 26
c:\Users\Matea\Desktop\IndianaJones\src\app\test\test.component.ts, TypeScript, 0, 11, 0, 0, 5, 16
c:\Users\Matea\Desktop\IndianaJones\src\environments\environment.prod.ts, TypeScript, 0, 3, 0, 0, 1, 4
c:\Users\Matea\Desktop\IndianaJones\src\environments\environment.ts, TypeScript, 0, 3, 0, 11, 3, 17
c:\Users\Matea\Desktop\IndianaJones\src\index.html, HTML, 14, 0, 0, 0, 2, 16
c:\Users\Matea\Desktop\IndianaJones\src\main.ts, TypeScript, 0, 14, 0, 0, 6, 20
c:\Users\Matea\Desktop\IndianaJones\src\polyfills.ts, TypeScript, 0, 1, 0, 55, 8, 64
c:\Users\Matea\Desktop\IndianaJones\src\styles.css, CSS, 0, 0, 2, 1, 2, 5
c:\Users\Matea\Desktop\IndianaJones\src\test.ts, TypeScript, 0, 13, 0, 4, 4, 21
Total, -, 1151, 1853, 42, 163, 530, 3739
